COMMON NAME,SCIENTIFIC NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerdon's Leafbird,Chloropsis jerdoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-throated Bulbul,Pycnonotus xantholaemus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Palm-Swift,Cypsiurus balasiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Drongo,Dicrurus macrocercus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Kite,Milvus migrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Myna,Acridotheres tristis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egyptian Vulture,Neophron percnopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bee-eater,Merops orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Crow,Corvus splendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Sparrow,Passer domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Roller,Coracias benghalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Swift,Apus affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pied Cuckoo,Clamator jacobinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pied Kingfisher,Ceryle rudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-rumped Swallow,Cecropis daurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Dove,Streptopelia chinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-throated Kingfisher,Halcyon smyrnensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy Prinia,Prinia socialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Barbet,Psilopogon zeylanicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Iora,Aegithina tiphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Tailorbird,Orthotomus sutorius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Coucal,Centropus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Robin,Copsychus fulicatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Silverbill,Euodice malabarica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Bush-Quail,Perdicula asiatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Babbler,Turdoides striata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Prinia,Prinia sylvatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
