COMMON NAME,SCIENTIFIC NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-orange Flycatcher,Ficedula nigrorufa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-winged Kite,Elanus caeruleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-backed Needletail,Hirundapus giganteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar-winged Flycatcher-shrike,Hemipus picatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Kingfisher,Alcedo atthis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Treeswift,Hemiprocne coronata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusky Crag-Martin,Ptyonoprogne concolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Kestrel,Falco tinnunculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Junglefowl,Gallus sonneratii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinereous Tit,Parus cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Wagtail,Motacilla cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Swiftlet,Aerodramus unicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Yellow Tit,Machlolophus aplonotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian White-eye,Zosterops palpebrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Myna,Acridotheres fuscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Grebe,Tachybaptus ruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-tailed Shrike,Lanius schach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Imperial-Pigeon,Ducula badia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilgiri Flycatcher,Eumyias albicaudatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill Swallow,Hirundo domicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilgiri Flowerpecker,Dicaeum concolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Prinia,Prinia inornata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-whiskered Bulbul,Pycnonotus jocosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Minivet,Pericrocotus flammeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikra,Accipiter badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Hill Myna,Gracula indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square-tailed Bulbul,Hypsipetes ganeesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velvet-fronted Nuthatch,Sitta frontalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-browed Wagtail,Motacilla maderaspatensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-cheeked Barbet,Psilopogon viridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Eagle,Ictinaetus malaiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-cheeked Fulvetta,Alcippe poioicephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-headed Bee-eater,Merops leschenaulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Goshawk,Accipiter trivirgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Serpent-Eagle,Spilornis cheela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Coucal,Centropus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Flameback,Chrysocolaptes guttacristatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart-spotted Woodpecker,Hemicircus canente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Dove,Streptopelia chinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bellied Sholakili,Sholicola albiventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-breasted Waterhen,Amaurornis phoenicurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy Woodswallow,Artamus fuscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Sparrow,Passer domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Cuckoo,Cuculus micropterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large-billed Crow,Corvus macrorhynchos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Magpie-Robin,Copsychus saularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-vented Bulbul,Pycnonotus cafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
